,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
194011,1.98,-2.04,1.47,1.05,6,-3.04,-0.32,1.03,-0.51,3.01,-3.04,0.13,1.76,0.66,1.96,-6.29,-0.74,-0.7,-1.53,1.76,-7.62,-5.09,-2.83,-1.32,1.23
194012,-6.02,-4.14,-1.81,3.01,-9.98,-4.36,-1.47,-1.64,2.49,-1.15,0.03,-1.87,-0.58,-0.07,2.03,-5.29,-0.52,-0.22,0.47,-1.35,-1.55,0.85,0.81,0.12,2.9
194101,5.29,-1.67,-4.86,3.11,-3.07,1.2,-4.18,-1.08,-5.16,-3.69,1.1,-2.97,-1.93,-3.23,-4.87,-7.52,-2.69,-2.9,-3.41,-5.46,1.08,-1.81,-1.54,-4.73,-6.47
194102,-3.48,-5.01,-3.55,0.29,8.17,-4.85,-3.01,-1.03,-2.09,-1.91,-3.75,-1.57,-0.83,-1.25,-3.07,-1.39,0.69,-2.58,-2.77,-1.26,0.18,-1.18,-0.28,-0.72,-2.42
194103,2.85,1.39,3.23,-3.61,-4.81,2.92,4.41,3.83,1.94,2.42,-1.96,0.78,-0.14,-2.65,2.23,-1.67,1.81,1.46,-0.05,0.76,1.82,4.6,0.41,0.37,1.59
194104,-6.56,-7.59,-6.92,-7.57,-5.68,-5.75,-8.51,-6.58,-6.8,-4.58,-5.36,-4.67,-6.88,-5.44,-4.68,-5.8,-6.93,-4.49,-7.51,-5.44,-4.1,-2.8,-3.41,-6.96,-5.16
194105,1.42,-1.17,2.12,3.22,-3.82,0.17,0.94,2.19,1.99,1.58,-2.63,1.11,2.24,2.04,2.68,1.61,-0.57,0.08,2.46,2.5,0.09,4.52,3.41,0.13,1.84
194106,7.11,9.59,12.13,1.9,7.3,6.27,7.27,11.96,5.33,6.41,6.99,5.47,4.86,6.83,5.38,8.76,7.07,5.83,5.46,6.54,2.14,3.04,6.04,6.2,5.66
194107,23.38,20.07,16.18,23.89,23.69,15.15,15.72,12.39,14.31,5.89,20.25,13.34,11.23,8.51,7.86,19.99,11.5,11.88,7.92,9.62,11.15,9.55,7.34,4.65,2.94
194108,1.46,-1.94,-2.65,-4.75,0.99,-1.95,-0.16,-1.63,-1.93,-0.04,-0.35,-2.34,-1.37,0.55,-0.24,-0.1,-1.87,1.19,0.48,-0.33,-2.83,-3.75,-1.33,0.81,0.21
194109,-6.26,-4.48,-7.89,-1.55,-2.5,-5.1,-1.41,-3.89,-3.33,-0.22,-4.68,-0.74,-2.04,1.16,-1.85,-1.68,-2.32,-1.17,-0.92,-0.18,-5.37,-0.95,-1.42,-0.07,-0.69
194110,-8.88,-7.36,0.24,-11.82,-7.91,-9.8,-7.63,-5.95,-3.61,-1.81,-15.61,-6.3,-7.06,-5.34,-3.49,-8.81,-6.31,-5.77,-6.01,-4.94,-6.21,-4.15,-2.26,-7.98,-3.8
194111,-8.22,-4.42,0.83,-5.84,-13.64,-7.18,-3.34,-2.26,-2.93,-1.14,-4.1,-2.66,-2.47,-2.78,-0.75,-5.56,-2.88,-3.56,-1.3,-0.5,-5.1,1.69,-1.69,-1.86,-2.56
194112,-18.93,-11.44,-17.91,-5.38,-2.28,-18.38,-10.52,-4.35,-5.51,-5.08,-9.04,-10.07,-9.23,-5.3,-7.08,-10.79,-8.53,-3.62,-4.15,-1.69,-6.69,-7.14,-7,-4.42,-3.48
194201,33.44,19.4,14.89,33.09,3.65,20.37,14.87,11.45,8.77,6.56,16.99,7.72,6.01,9,3.24,9.86,11.47,7.35,3.68,0.05,16.47,7.08,2.61,1.08,-3.87
194202,-2.04,-2.14,-2.69,1.18,11.27,-2.26,-0.27,-2.64,0.32,-1.66,-2.7,1.34,-1.94,-1.33,-1.18,0.86,0.64,-2.04,-3.62,-1.35,-1.42,-1.34,-3.63,-1.54,-3.39
194203,-7.68,-1.12,-5.52,-2.68,0,-6.37,-5.65,-1.26,-3.92,-3.65,-9.54,-5.58,-4.27,-2.04,-5.81,-2.62,-4.52,-4.48,-6.17,-6.09,-5.79,-9.15,-5.86,-6.18,-7.71
194204,-2.29,-6.39,-5.89,-3.82,0,-6.89,-5.74,-2.89,-3.17,-4.65,-7.91,-6.48,-3.77,-5.27,-4.57,-6.11,-3.9,-3.24,-5.29,-7.69,-2.61,-1.47,-3.93,-3.61,-5.13
194205,-3.08,1.62,3.79,2.74,3.57,1.76,2.1,2.06,0.61,1.98,-1.44,2.8,1.69,3.76,4.33,8.39,1.8,2.28,5.02,5.85,-2.75,-1.14,5.47,7.43,6.82
194206,3.17,3.19,3.42,-0.8,-1.04,1.54,-1.51,0.66,4.19,0.97,4.1,1.19,2.77,3.09,2.83,0.43,0.49,3.74,1.27,4.58,6.2,3.21,3.23,3.13,2.06
194207,6.37,6.68,7.71,10.49,5.26,5.76,3.74,3.25,4.23,3.09,3.74,4.2,3.69,5.13,4.25,10.04,6.31,3.63,4.08,2.85,12.5,6.74,3.62,3.24,2.8
194208,3.73,2.11,1.04,1.91,1.82,2.29,1.5,3.69,1.83,2.84,3.93,2.02,2.26,2.97,2.85,4.97,1.88,3.4,3.46,1.68,0.06,0.51,2.55,1.87,1.5
194209,11.35,5.45,4.35,12.08,3.83,4.18,3.39,5.04,2.46,4.11,3.46,3.31,2.83,2.92,1.47,6.16,2.59,3.5,2.97,1.84,5.07,2.89,3.6,2.02,2.18
194210,13.27,13.27,10.87,2.11,9.7,24.25,11.09,9.99,6.21,4.69,18.49,13.46,7.07,6.84,6.97,18.5,9.24,10.31,5.82,7.3,18.73,9.71,7.23,5.63,3.13
194211,-3.87,-4.53,1.08,-2.85,-0.57,-4.6,-2.11,-3.24,0.71,-0.17,-9.09,1.39,-1.17,-0.69,-1.82,2.49,-2.29,-1.62,-1.23,0,-1.55,-0.07,0.65,0.71,0.05
194212,-2.44,0.2,5.45,4.65,-2.5,5.65,2.55,3.37,3.52,2.16,2.1,4.55,4.81,3.16,2.22,6.01,7.01,3.13,6.62,4.13,5.97,7.91,5.61,4.76,3.1
194301,41.88,27.54,16.79,20.22,14.19,28.82,20.67,17.9,12.62,9.7,25.02,11.93,13.44,9.18,7.84,11.94,13.2,8.45,8.38,6.59,12.99,8.88,5.35,5.27,6.86
194302,39.35,12.57,11.26,9.28,7.38,20.56,12.93,9.24,8.13,8.7,22.36,10.13,6.96,7.06,5.12,22.2,8.63,7.32,6.34,5.26,12.97,6.64,5.27,4.72,4.46
194303,11.14,17.2,19.23,16.49,10.58,16.1,16,14.61,8.94,8.14,15.22,14,8.31,9.46,9.69,19.7,11.19,7.39,9.65,7.98,7.93,6.19,5.67,3.41,6.86
194304,10.63,7.64,3.61,5.84,6.93,7.27,5.87,3.96,4.21,-0.59,8.92,2.41,0.03,1.09,0.89,8.18,3.32,-0.09,2.23,0.46,4.03,0.69,0.29,-1.11,1.19
194305,16.44,10.07,4.87,13.4,10.68,11.4,8.56,9.99,9.89,4.25,21.06,9.26,6.83,5.09,3.83,12.47,7.94,5.36,5.37,4.65,7.2,5.96,4.89,5.25,5.03
194306,-0.01,-2.05,1.56,3.27,2.2,0.06,4.68,0.18,0.54,1.97,-0.64,2.41,1.84,2.92,1.94,-3.57,2.29,0.64,1.18,1.79,1,1.68,2.3,0.77,3.82
194307,-9.35,-5.46,-6.2,-7.56,-6.76,-10.55,-11.06,-7.42,-4.5,-4.05,-12.14,-8.85,-6.52,-2.78,-5.7,-10.72,-8.14,-5.51,-5.3,-4.91,-6.95,-4.34,-2.83,-5.06,-6.58
194308,-2.54,-0.25,-1.02,0.28,-0.17,1.55,0.03,0.1,0.81,-0.55,0.8,2.53,0.13,1.15,0.73,4.44,0.45,0.72,0.61,1.64,-0.16,0.77,1.2,1.89,1.87
194309,5.16,3.04,6.97,1.94,4.47,6.59,3.55,7.01,3.08,1.71,6.62,2.9,1.26,4.15,3.5,2.56,3.27,2.66,3.84,2.29,6.16,2.86,2.34,1.18,2.67
194310,-1.76,-1.45,-1.65,0.75,2.62,-1.46,1.01,5.35,-0.35,1.66,-2.42,-1.31,0.41,-0.37,1.42,-1.21,-1.4,-0.75,0.31,-0.6,-1.85,-2.16,-1.27,-0.56,-0.55
194311,-17.01,-13.33,-8.42,-7.3,-9.74,-14.67,-10.53,-6.94,-6.7,-7.45,-12.77,-9.99,-9.17,-2.86,-6.63,-12.84,-8.57,-7.93,-6.35,-6.29,-12.16,-5.42,-6.48,-3.83,-7.2
194312,13.1,12.73,10.11,8.9,13.77,14.27,10.64,13.05,10,7.2,14.46,10.34,10.82,7.51,10.31,14.46,9.94,9.04,7.08,6.39,10.85,6.18,5.01,5.55,6.82
194401,9.97,10.65,4.77,5.05,3.44,7.24,3.45,2.88,5.32,3,6.82,5.32,3.79,3.77,1.97,3.05,2.65,2.39,2.98,1.89,3.15,3.3,0.62,1.06,1.93
194402,3.52,2.48,2.07,2.63,2.56,2.99,1.25,3.48,1.08,1.38,1.35,0.62,-1.29,0.9,1.5,1.99,-0.08,-0.3,2.43,-0.29,0.5,-1.76,0.15,1.92,1.57
194403,5.01,7.62,7.06,3.23,5.61,10.62,6.05,4.67,2.63,3.36,5.65,3.95,3.53,5.45,3.69,3.73,1.63,3.32,3.05,1.45,2.64,2.13,1.89,2.31,5.06
194404,-5.86,-2.46,-1.49,-3.1,-3.29,-4.96,-4.89,-1.62,-3.52,-3.24,-3.35,-4.24,-2.52,-2.34,-1.06,-3.13,-2.01,-3.5,-3.27,-3.03,-1.45,-0.95,-1.16,-1.66,-2.79
194405,8.69,7.31,10.13,8.45,7.77,9.34,6.61,6.81,6.95,5.9,7.08,6.4,8.75,7.24,7.8,4.48,5.86,4.51,7.69,5.09,4.36,3.63,5.96,5.58,5.42
194406,23.56,24.85,13.44,14.13,11.16,11.29,10.44,8.59,10.2,10.08,13.34,10.39,9.09,7.91,6.84,7.09,10.08,8.15,6.68,12.58,5.74,5.07,3.77,5.75,1.86
194407,-1.76,-1.08,-1.98,-2.6,-0.84,-1.7,-1.52,-1.14,-1.63,-2.46,-0.52,0.57,-2.6,-0.4,-2.52,-0.31,-1.45,-1.93,-1.22,-1.28,-0.69,-1.31,-2.93,-0.87,-2.3
194408,4.67,4.33,4.89,2.64,3.01,2,3.89,5.11,1.82,1.53,3.63,2.77,2.92,3.67,5.77,5.48,3.05,0.84,2.06,0.36,2.2,1.32,1.13,0.92,-1.48
194409,-1.4,-0.16,1.76,-2.38,0.99,-0.93,-1.14,-0.34,-0.14,0.23,-0.68,0.23,0.78,0.04,-0.7,-2.1,0.89,-0.17,0.22,0.91,-0.51,0.55,0.31,-0.56,-0.13
194410,-1.41,-0.28,0.35,2.03,2.15,-1.73,0.05,0.56,-0.23,-1.75,-0.98,-1.43,-0.58,0.21,1.64,-1.5,-0.86,1.05,-1,1.07,-0.14,-0.03,1.43,0.76,-1.21
194411,1.93,2.67,2.27,3.43,2.86,0.58,1.95,4.08,3.39,2.82,1.03,2.3,1.17,2.87,2.23,-0.03,3.83,2.05,2.14,3.9,0.15,0.88,2.74,2.63,3.69
194412,15.87,7.79,11.69,6.05,7.05,11.62,11.12,7,4.31,6.92,8.02,5.18,5.64,5.62,7.95,8.58,6.08,3.77,7.05,5.93,1.28,2.68,2.52,6.53,10.88
194501,9.81,4.27,4.38,4.48,7.03,3.95,5.91,5.64,4.77,5.11,5.87,4.43,4.88,2.22,2.99,1.9,3.24,2.61,5.39,1.58,2.28,0.72,2.24,2.2,1.67
194502,10.43,13.29,8,12.51,9.82,11.34,9.8,9.39,9.55,6.77,7.92,9.73,7.8,8.87,9.37,10.87,8.61,7.17,7.47,8.05,4.97,5.56,6.05,5.94,7.16
194503,-14.68,-13.47,-8.18,-7.73,-6.32,-3.47,-4.81,-4.13,-5.28,-5.29,-7.18,-3.53,-6.2,-4.94,-5.93,-6.31,-1.68,-4.14,-5.08,-2.78,-3.35,-2.25,-5.05,-5.14,-4.88
194504,11.59,6.43,9.66,7.51,9.17,6.39,8.04,8.12,10.33,8.39,11.05,8.57,9.85,10.21,8.18,8.71,6.77,9.52,9.06,10.1,7.62,6.36,8.43,8.78,10
194505,3.43,3.57,3.87,4.51,6.62,1.63,2.69,2.92,1.61,2.97,2.98,1.58,3.22,5.09,3.27,5.29,1.55,2.8,0.14,2.48,1.97,1.4,1.63,1.78,0.66
194506,20.5,13.01,3.69,3.49,3.67,2.68,2.87,3.92,0.4,4.77,8.43,1.58,0.13,-0.22,2.8,9.52,1.93,-0.11,1.24,1.36,0.32,-1.28,-1.22,0.29,1.22
194507,-6.22,-5.01,-3.08,-3.73,-2.82,-3.94,-3.77,-2.88,-4.46,-2.84,-2.78,-4.69,-1.93,-4.34,-5.94,-2.83,-2.96,-2.65,-4.46,-1.72,-0.3,-1.02,-4.24,-3.92,-5.26
194508,5.05,5.62,13.48,4.52,5.79,4.32,7.8,9.32,6.8,6.29,6.63,6.42,6.47,8.39,5.76,4.33,8.03,8.13,8.6,7.15,5.87,6.49,6.07,7.14,4.55
194509,9.98,4.96,6.09,7.15,6.85,5.92,5.71,5.87,7.3,7.97,7.67,7.06,5.58,7.44,6.81,8.24,5.42,7.71,5.03,7.13,4.13,4.93,1.53,3.82,6.7
194510,8.83,8.65,7.06,11.92,14.19,5.81,4.68,4.57,6.39,8.26,4.84,4.59,4.17,5.77,5.19,9.44,5.07,2.6,5.1,3.61,1.58,3.45,4.3,7.19,9.45
194511,14.96,11.75,8.63,11.92,16.55,11.17,6.5,8.77,12.09,9.44,4.38,5.19,9.34,8.82,10.34,8.62,9.85,9.95,9.77,10.78,2.27,4.04,5.54,5.55,11.05
194512,7.53,1.67,4.2,5.36,0.83,2.89,3.56,2.58,4.82,3.24,0.82,1.75,1.49,2,2.46,1.73,2.72,2.1,1.94,3.63,0.75,0.85,-0.03,1.4,2.86
194601,30.62,17.23,11.74,9.36,12.29,10.88,12.54,11.05,5.54,11.59,9.08,7.47,8.1,8.36,7.56,10.68,6.59,6.07,7,11.15,5.23,6.72,5.07,2.24,6.8
194602,-7.9,-5.43,-5.27,-4.69,-7.53,-5.49,-5.1,-8.42,-7.34,-9.14,-8.29,-6.09,-5.67,-7.89,-8.57,-5.23,-6.16,-7.24,-6.58,-8.81,-5.04,-5.59,-6.05,-4.81,-7.11
194603,-1.13,0.15,2.23,5.76,3.47,7.23,3.26,6.55,5.46,7.72,5.25,5.78,7.36,7.22,11.12,6.04,7.12,5.79,10.05,6.02,4.39,5.61,5.98,9.91,7.91
194604,2.55,5.85,7.79,7.59,8.68,5,5.51,8.08,3.58,6.37,3.55,4.58,7.33,4.2,4.71,2.5,7.25,5.02,4.17,1.44,3.86,3.28,6.21,5.57,1.5
194605,6.06,2.78,7.13,6.03,7.35,3.1,6.52,8.67,3.93,8.13,5.43,6.89,6.64,6.6,7.27,2.96,5.2,6.32,6.54,7.46,3.31,2.45,3.7,5.56,3.2
194606,-3.36,-4.6,-4.87,-6.15,-5.49,-3.76,-6.09,-3.82,-6.43,-3.3,-3.56,-4.23,-5.16,-7.61,-5.83,-3.4,-4.53,-6.65,-6.78,-6.49,-2.17,-3.3,-5.82,-5.47,-3.75
194607,-5.96,-2.98,-3.49,-5.36,-6.8,-4.73,-5.14,-4,-3.7,-5.93,-4.12,-3.59,-4.64,-3.46,-3.95,-3.1,-3.9,-3.65,-3.33,-7.17,-1.41,-2.47,-3.37,-2.94,-4.07
194608,-10.05,-6.52,-7.36,-8.82,-9.53,-7.78,-5.71,-6.65,-9.14,-10.51,-5.56,-6.77,-7.56,-8.14,-7.91,-5.41,-6.38,-6.58,-7.34,-9.61,-5.83,-5.77,-7.17,-7.04,-6.6
194609,-14.94,-9.34,-17.11,-16.77,-17.83,-14.01,-11.92,-14.27,-16.2,-16.73,-10.16,-10.8,-12.96,-13.54,-14.26,-9.49,-11.02,-13.58,-11.99,-20.13,-7.41,-8.87,-10.35,-11.93,-15.67
194610,-0.65,1.41,0.23,-2.15,-3.55,0.33,-1.39,-0.85,-0.26,-1.22,-0.03,0.07,0.27,-1.69,-1.7,-3.19,-0.21,-0.59,-3.66,-0.31,-1.35,-1.42,-2.29,-2.27,-0.38
194611,0.2,2.61,-2.56,0.54,-1.41,1.6,0.47,0.35,-1.14,-2.54,1.94,2.25,1.16,0.68,-0.55,1.42,-0.22,0.61,-0.02,-3,1.28,-0.53,-1.15,-2.45,-3.9
194612,1.63,10.82,4.09,4.03,3.14,5.71,6.82,3.77,1.84,4.19,2.51,6.18,6.22,6.58,0.61,2.72,4.25,6.99,8.76,6.06,5.1,4.49,4.27,7.8,4.15
194701,6.08,5.71,6.52,6.46,7.07,4.4,3.27,3.01,5.05,2.85,2.12,3.11,3.3,1.79,4.22,2.92,0.99,1.2,-0.76,4.13,0.45,4.66,-0.31,-1.31,-2.59
194702,1.34,-0.12,1.19,-0.39,0.7,-2.27,1.02,1.03,-0.94,-2.27,0.68,-0.28,-2.05,-0.77,-3.22,-0.92,-0.38,0.57,-0.74,-0.85,-1.1,-0.83,-1.14,-0.89,-1.95
194703,-1.97,-2.92,-3.83,-3.75,-5.63,-3.74,-3.4,-3.75,-4.43,-4.29,1.3,-2.64,-0.73,-2.87,-5.07,-1.25,-1.42,-0.44,-3.36,-5.01,-0.69,-1.44,-2.24,-2.61,-5.69
194704,-8.76,-10.08,-9.45,-9.78,-14.08,-6.2,-7.45,-8.28,-8.68,-12.54,-5.56,-8.46,-7.44,-10.01,-11.02,-5.29,-7.5,-5.61,-7.87,-10.68,-2.96,-3.41,-5.83,-5.85,-8.39
194705,-3.85,-3.96,-6.85,-7.67,-6.13,-2.92,-3.24,-4.43,-5.85,-4.59,-2.15,-2.93,-2.96,-4.72,-5.88,-3.57,-2.52,-1.06,-3.5,-4.45,-0.63,1.54,-1.46,-0.87,-1.99
194706,3.82,4.72,8.28,5.97,7.11,5.18,2.69,6.49,5.3,4.62,4.49,3.34,4.59,5.25,7.02,3.57,6.09,5.58,7.76,8.52,4.4,5.9,9.19,4.39,7.19
194707,6.66,6.37,7.25,7.73,6.9,3.44,3.95,8.83,5.72,9.48,4.57,7.38,7.43,6.75,7.97,4.15,5.55,4.6,6.5,10.41,2.81,4.12,5.39,4.33,7.15
194708,-1.67,-5.65,-0.18,-2.21,-3.95,2.28,-0.31,0.55,-1.64,-3.47,1.18,-0.41,0.19,-2.05,-1.49,-0.81,-0.62,-1.96,-3.2,-1.75,-1.31,-1.9,-1.85,-3.19,-6.84
194709,2.7,0.76,0.44,0.46,-0.89,0.91,-0.02,1.04,1.83,2,2.23,1.67,2.04,-1.02,-0.01,1.12,-0.34,1.33,1.76,-0.47,-0.65,-1.65,-1.65,2.79,1.59
194710,7.09,3.29,4.78,4.52,3.54,1.48,4.03,4.95,6.3,2.96,0.98,2.75,3.44,3.93,5.43,0.44,1.72,1.62,3.18,3.78,1.64,2.94,3.89,3.22,0.78
194711,-3.96,-2.16,-0.87,-3.17,-4.22,-2.99,-4.04,-4.54,-1.69,-5.89,0.2,-2.23,-2.49,-3.29,-3.94,-0.27,0.04,-2.37,-4.09,-4.88,-1.38,-1.68,-1.47,-1.47,-4.32
194712,1.41,3.03,3.91,-1.39,0.95,3.5,0.04,2.43,4.61,1.87,4.62,1.57,1.54,2.57,1.22,0.94,3.58,1.6,4.03,3.11,2.59,4.09,4.39,2.26,0.71
194801,0.13,-2.33,1.08,0.4,0.3,0.12,-1.06,-2.43,-2.21,-4.52,0.79,-1.54,-3.57,-2.82,-2,0.8,-2.37,-2.18,-3.29,-3.69,-4.13,-3.24,-4.97,-5.07,-5.42
194802,-5.68,-5.79,-9.49,-6.27,-8.51,-6.21,-4.18,-8.2,-5.71,-8.17,-4.02,-5.77,-5.45,-6.01,-6.85,-3.66,-5.09,-4.04,-6.25,-8.47,-3.74,-4.21,-3.94,-4.47,-6.83
194803,12.3,15.19,9.59,9.61,7.32,10.28,7.01,8.55,10.25,8.19,10.93,10.58,8.79,9.7,10.05,11.99,8.13,8.88,8.32,11.82,6.07,8.11,11.1,9.06,13.66
194804,7.9,7.33,1.49,3.46,1.92,2.55,4.14,0.99,2.69,3.74,4.08,3.05,3.5,4.36,3.41,3.35,5.49,1.35,5.44,5.83,3.29,3.26,5.37,2.52,1.91
194805,14.03,10.21,6.68,8.33,11.82,6.83,9.25,9.88,8.47,11.82,7.54,7.11,7.52,9.82,8.77,7.17,8.82,8.74,8.31,9.47,8.98,6.83,6.88,6.7,8.52
194806,-1.61,-3.4,-1.56,-1.43,-3.17,-1.61,-1.07,-3.97,-2.29,-2.73,1.77,-0.72,-2.99,-1.23,-3.21,-2.21,-1.28,-1.29,-1.89,-1.43,-1.14,0.38,1.32,0.49,-2.48
194807,-5.43,-4.93,-3.96,-3.93,-7.44,-6.04,-4.28,-3.18,-4.86,-4.31,-6.5,-5.53,-5,-3.35,-5.61,0.05,-4.78,-6.29,-7.03,-6.52,-5.92,-4.02,-5.13,-5.86,-5.75
194808,-2.07,-2.9,-1.42,-1.52,1.61,0.19,-0.09,-1.86,-0.72,-0.28,0.58,0.44,0.54,0.22,-0.32,0.07,-0.19,0.1,2.2,0.19,0.26,0.31,0.26,0.77,1.6
194809,-4.01,-7.95,-6.8,-2.96,-6.25,-4.56,-4.66,-3.64,-3.48,-3.33,-4.31,-0.67,-4.71,-4.89,-4.72,-4.94,-1.88,-5.3,-6.98,-5.11,-1.65,-2.62,-2.82,-3,-3.55
194810,8.32,4.59,4.23,3.97,6.78,6.9,5.39,4.42,4.3,3.88,5.53,2.97,4.01,5.91,5.63,4.27,5.86,5.17,4.72,5.96,4.99,7,6.48,6.94,6.08
194811,-12.5,-12.16,-10.71,-11.13,-14.57,-12.62,-10.9,-11.14,-10.31,-11.31,-12.16,-8.84,-9.74,-9.65,-11.18,-7.99,-8.48,-9.73,-11.08,-12.1,-7.89,-8.77,-9.6,-9.86,-11.09
194812,-1.48,-3.29,-1.2,-4.2,-0.82,1.57,-0.62,0.32,0.84,-0.8,2.43,0.14,3.04,1.46,2.86,1.36,2.76,2.84,2.8,3.06,3.1,4.43,3.68,2.98,3.57
194901,4.25,5.3,3.09,6.07,2.16,2.68,4.42,0.94,1.95,2.25,1.37,2.96,-0.83,2.42,-0.18,4.75,1.44,1.47,-0.28,-0.28,1.08,0.25,-0.61,-1.97,0.6
194902,-5.42,-3.71,-6.08,-4.45,-5.75,-7.34,-4.08,-5.63,-3.06,-6.06,-3.2,-4.24,-3.85,-3.94,-5.25,-1.25,-3.58,-2.63,-3.54,-3.18,-1.74,-1.82,-3.8,-4.22,-3.73
194903,8.18,7.71,4.61,5.67,6.54,7.44,6.98,5.92,5.64,6.72,6.8,8.87,5.13,7.07,7.81,5.78,6.65,3.81,6.47,3.42,3.44,3.73,3.03,4.43,5.32
194904,-3.01,-5.3,-3.91,-1.44,-5.06,-3.47,-4.17,-3.16,-2.81,-4.15,-2.72,-4.6,-5.35,-1.52,-5.77,-3.6,-1.95,-3.47,-3.85,-3.9,-1.95,-0.94,-0.76,-1.45,-2.77
194905,-8.87,-4.74,-8.23,-6.57,-8.21,-6.27,-4.04,-4.53,-3.38,-4.86,-5.11,-3.36,-4.25,-4.44,-5.49,-3.6,-2.03,-2.36,-0.58,-2.96,-2.12,-1.02,-4.11,-3.69,-4.31
194906,-0.06,0.51,-2.33,-0.73,-1.62,-2.18,-1.03,-0.81,0.37,-2.08,-1.02,-1.94,-1.6,-0.2,-0.99,-0.69,-0.66,-0.65,-0.63,1.12,0.77,0.2,-0.44,1.46,1.02
194907,5.14,5.96,4.91,5.77,8.88,8.09,6.42,7.54,6.02,6.22,4.75,7.2,7.78,6.46,5.66,5.02,6.29,6.71,7.72,6.57,6.37,3.94,6.09,5.36,7.42
194908,4.09,2.28,2.49,2.57,-1.3,0.62,2.45,2.61,2.81,3.12,1.69,1.93,3.85,1.95,3.25,0.51,0.19,1.82,2.21,3.77,1.08,2.86,2.38,2.93,3.9
194909,5.16,0.95,3.56,3.74,6.03,4.64,6.17,5.67,2.84,6.38,4.4,2.92,2.11,4.35,6.59,3.32,3.09,3.15,4.14,6.64,2.11,2.22,3.72,2.8,3.78
194910,7.83,4.29,4.18,6.1,3.86,3.17,4.68,3.65,5.09,2.92,2.4,3.82,4.53,1.97,5.14,2.47,2.86,2.94,2.83,2.29,2.92,3.13,3.72,3.58,3.32
194911,-2.42,-1.96,-0.71,1.76,-2.78,-2.25,0.48,0.49,1.87,2.58,-1.31,0.14,1.26,2.23,1.56,-2.39,2.65,2.96,1.67,3.04,1.57,2.85,2.88,-0.1,1.8
194912,10.13,7.73,6.24,6.33,7.24,8.07,8.09,6.9,4.4,5.93,12.07,8.49,6.96,7.14,7.21,8.83,6.23,6.3,6.45,5.42,6.15,5.39,4.66,3.46,5.57
195001,8.27,5.18,6.31,4.16,4.94,4.77,4.65,3.92,4.04,5.4,6.56,4.59,3.21,2.06,5.32,7.21,3.16,0.49,2.15,1,3.87,2.39,0.47,0.66,1.62
195002,3.28,0.1,1.91,1.77,-0.23,2.26,1.67,0.45,1.91,5.07,2.27,1.42,-0.73,1.34,0.69,0.53,1.96,1.12,3.15,1.82,0.03,2.58,1.32,1.84,0.08
195003,0.54,-1.93,-1.14,-0.38,-1.12,-1.51,-1.06,-1.38,-2.41,2.06,-2.43,0.65,1.82,-0.79,-0.39,-3.79,0.01,1.11,-0.55,0.82,3.22,1.4,2.04,2.47,0.96
195004,8.26,6.65,5.66,3.13,3.29,6.86,6.06,3.53,3.31,5.41,14.09,4.2,1.68,3.17,4.29,5.29,4.88,4.42,1.64,4.56,2.48,4.87,3.02,4.93,2.72
195005,1.31,2.57,4.43,1.51,0.51,2.53,4.86,2.68,4.43,2.84,0.65,3.93,5.25,4.57,3.18,-0.24,2.7,1.01,2.35,4.33,-0.49,4.1,3.41,6.38,5.72
195006,-10.97,-8.42,-4.84,-4.69,-6.85,-11.36,-8.49,-6.63,-7.57,-7.27,-11.26,-8.49,-6.12,-7.21,-3.99,-9.13,-8.35,-6.85,-6.7,-7.75,-10.65,-6.88,-4.08,-5.07,-5.98
195007,11.35,11.8,5,4.09,2.4,13.96,6.12,3.58,3.96,7.74,10.63,4.57,2.3,4.3,3.39,9.72,7.38,3.6,0.73,3.61,15.79,2.76,-1.25,1.76,2.75
195008,3.99,7.24,7.66,5.1,6.89,1.36,6.81,4.82,7.72,6.24,3,7.5,6.36,5.58,3.79,1.5,2.85,4.81,5.99,5.55,3.53,2.2,4.76,5.87,5.77
195009,3.32,3.69,5.86,1.43,3.63,5.7,7.71,6.26,5.08,2.82,5.34,5.57,5.25,4.49,7.87,6,4.9,7.48,6.55,7.17,3.9,4.72,4.79,3.97,4.99
195010,-1.41,2.56,-0.71,-2.48,0.67,2.61,-2.04,0.52,2.68,0.72,-0.87,-1.65,-2.02,-0.48,-0.3,0.11,-0.79,-0.25,-1.39,-1.07,-3.63,0.2,0.34,0.66,-0.81
195011,2.44,3.04,2.86,5.36,-0.78,3.8,4.25,1.29,2.49,2.98,3.9,2.98,2.35,4.73,2.52,5.91,4.55,3.56,4.03,4.39,3.67,2.17,-0.27,2.86,5.44
195012,19.04,9.16,7.03,3.7,8.27,13.47,9.3,5.64,8.11,8.05,13.72,8.31,7.63,4.93,4.11,16.89,8.8,6.49,5.23,6.8,15.14,6.1,3.36,4.32,6.66
